city,z,x,y,band,codec,raw_band_bytes,unpredicted_compressed_bytes,delta_compressed_bytes,delta_ratio
madrid,18,128376,98845,provenance,gzip6,262144,3013,3781,69.33192277175351
madrid,18,128376,98845,provenance,zstd3,262144,3369,2629,99.71243818942564
madrid,18,128376,98845,provenance,brotli5,262144,1375,2058,127.37803692905733
madrid,18,128372,98846,G,gzip6,262144,10906,8904,29.44115004492363
madrid,18,128372,98846,G,zstd3,262144,17393,14562,18.00192281280044
madrid,18,128372,98846,G,brotli5,262144,9789,10344,25.34261407579273
madrid,18,128372,98846,B,gzip6,262144,2126,2597,100.94108586830959
madrid,18,128372,98846,B,zstd3,262144,2619,2049,127.93753050268424
madrid,18,128372,98846,B,brotli5,262144,1217,1720,152.4093023255814
madrid,18,128372,98846,C0,gzip6,262144,458,521,503.15547024952014
madrid,18,128372,98846,C0,zstd3,262144,227,297,882.6397306397306
madrid,18,128372,98846,C0,brotli5,262144,171,219,1197.0045662100456
madrid,18,128372,98846,C1,gzip6,262144,464,521,503.15547024952014
madrid,18,128372,98846,C1,zstd3,262144,225,276,949.7971014492754
madrid,18,128372,98846,C1,brotli5,262144,173,217,1208.036866359447
madrid,18,128372,98846,flags,gzip6,262144,1996,2110,124.23886255924171
madrid,18,128372,98846,flags,zstd3,262144,2082,1944,134.84773662551441
madrid,18,128372,98846,flags,brotli5,262144,911,1018,257.50884086444006
